r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.01614599941496514,0.85,0.85,0.896875
1,3,0.00909812231555061,0.7833333333333333,0.7666666666666667,0.7979166666666667
1,4,0.0015402702047837985,0.6916666666666667,0.7,0.6989583333333333
1,5,0.00018413462594833006,0.775,0.8,0.7965625000000001
1,6,0.006213888370138329,0.8,0.8,0.8
1,7,0.002831747395166134,0.7833333333333333,0.7857142857142857,0.7982142857142857
1,8,0.0056268039037881854,0.7857142857142857,0.7875,0.7984375
1,9,0.006736466225594326,0.8875,0.888888888888889,0.8979166666666666
1,10,0.005669498207556418,0.788888888888889,0.79,0.798125
2,2,0.006462655102411563,0.8166666666666667,0.8166666666666667,0.8470588235294118
2,3,0.015872368316522292,0.775,0.7833333333333333,0.7925925925925925
2,4,0.005241437694026294,0.8466666666666667,0.8550000000000001,0.8473684210526315
2,5,0.005517403596046813,0.8416666666666668,0.8566666666666667,0.795625
2,6,0.013065003833751615,0.9614285714285715,0.9630952380952381,0.8986507936507937
2,7,0.009603855725695096,0.9401785714285715,0.9678571428571429,0.8958468614718615
2,8,0.010650612785979214,0.9507936507936506,0.9541666666666668,0.8969041149068323
2,9,0.005455166317047578,0.9637499999999999,0.97,0.8483796296296298
2,10,0.0018406989755655207,0.9580808080808081,0.9586363636363636,0.7994
3,2,0.005547868960537091,0.8149999999999998,0.8149999999999998,0.765625
3,3,0.006044513207801984,0.88015873015873,0.902857142857143,0.8314737654320987
3,4,0.004362150128942568,0.9268518518518519,0.9361111111111112,0.8321570972886763
3,5,0.006690362866186317,0.8851515151515151,0.9345454545454546,0.8246944444444445
3,6,0.002695092927582643,0.9341452991452993,0.9408119658119659,0.8311111111111111
3,7,0.010479890293799924,0.9436507936507936,0.9704761904761906,0.8956658420944136
3,8,0.0025822094399114972,0.9255182072829132,0.9363725490196078,0.7959334023464458
3,9,0.0023566043506027252,0.9566719829877725,0.9660287081339713,0.8650221836419754
3,10,0.011650315609063799,0.9783068783068783,0.9790476190476192,0.8995098039215688
4,2,0.008401185293638846,0.8452380952380952,0.8452380952380952,0.7985702614379084
4,3,0.002898124278884559,0.915,0.9150000000000003,0.8243750000000001
