r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5359833496367038,0.6,0.6,0.6
1,3,0.6569182638874677,0.5666666666666667,0.7333333333333333,0.6666666666666667
1,4,0.6048684544947176,0.5,0.6,0.5328169014084507
1,5,0.5454675296180393,0.55,0.6,0.6
2,2,0.5602839272133294,0.6666666666666666,0.6666666666666666,0.6
2,3,0.8146276157810725,0.5533333333333333,0.6066666666666667,0.5332865168539326
2,4,0.48345683168119197,0.3511111111111111,0.5333333333333333,0.36666666666666664
2,5,0.7400350646245932,0.6416666666666666,0.7666666666666666,0.5799582172701949
3,2,0.6680618842395643,0.6266666666666667,0.6266666666666667,0.6664794007490638
3,3,0.6129111626048296,0.6603174603174603,0.6825396825396826,0.6222222222222221
3,4,0.7366992193940247,0.6511111111111111,0.6844444444444444,0.5777467411545624
3,5,0.6322463510641467,0.5646753246753247,0.6770562770562771,0.47777777777777775
4,2,0.6905661429721788,0.7583333333333333,0.7583333333333333,0.7499301675977653
4,3,0.7708708860336417,0.5553030303030303,0.571969696969697,0.5166666666666666
4,4,0.7589890896653768,0.38356060606060605,0.4335606060606061,0.3416552197802198
4,5,0.7749943144307112,0.5534049773755656,0.655316742081448,0.47333333333333333
5,2,0.6367428070443005,0.4922222222222222,0.4922222222222222,0.43999999999999995
5,3,0.7392030745101386,0.5261538461538462,0.5969230769230769,0.5588980716253443
5,4,0.566077817229001,0.6733520074696545,0.7041643323996266,0.5866666666666667
5,5,0.806009229416764,0.6134099046733319,0.7446826319460591,0.5452791327913279
6,2,0.7004624006282684,0.7515151515151516,0.7515151515151516,0.7333333333333333
6,3,0.681749197014542,0.47655677655677664,0.5196581196581196,0.4333024691358025
6,4,0.7648237135132646,0.6078787878787878,0.7237878787878788,0.5943468468468469
6,5,0.7717031163303198,0.6234045584045584,0.6979487179487179,0.5733108715184188
7,2,0.6918348617596044,0.7604395604395605,0.7604395604395605,0.7428571428571429
7,3,0.7637125504752938,0.6201587301587301,0.6503174603174603,0.5999999999999999
7,4,0.7048278450804959,0.4993929634509344,0.5879344166300688,0.42857142857142866
7,5,0.6260264536218602,0.6030862454775499,0.7202825354999268,0.5008911584135014
8,2,0.6812758016029222,0.6783333333333333,0.6783333333333333,0.65
8,3,0.6859250093656984,0.5392490118577075,0.6056126482213439,0.4833333333333334
8,4,0.738634299128916,0.5780054945054945,0.6449697802197802,0.5290997602569968
8,5,0.7162641127884862,0.5592379879879881,0.7092304804804805,0.49993334626781427
9,2,0.6459607817796018,0.5761111111111111,0.5761111111111111,0.5554939981532779
9,3,0.6646016668787267,0.5748571428571428,0.5908571428571429,0.5258255545518418
9,4,0.7108729829007581,0.4704152182177876,0.5793123937140164,0.411066863254134
9,5,0.7340261752213584,0.554387681284233,0.6391535329145593,0.4674074074074074
10,2,0.6768880942364176,0.5983488132094943,0.5983488132094943,0.5599724517906336
10,3,0.7421022404100542,0.5336613756613756,0.5856402116402116,0.48666666666666664
10,4,0.7539639000174778,0.5563596207713855,0.6103372118078,0.4833023872679044
10,5,0.7864219022775067,0.5257366481911606,0.6177091159663577,0.4406325710562283
