r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.13333333333333333,0.0,0.0
1,4,1.0,0.05,0.0,0.0
1,5,1.0,0.13999999999999999,0.32,0.0
2,2,1.0,0.0,0.0,0.0
2,3,1.0,0.1,0.13333333333333333,0.0
2,4,0.9891993720509719,0.09166666666666666,0.1,0.06666666666666667
2,5,1.0,0.075,0.16,0.0
3,2,1.0,0.06666666666666667,0.06666666666666667,0.0
3,3,1.0,0.06666666666666667,0.04444444444444444,0.0
3,4,1.0,0.055555555555555546,0.05,0.0
3,5,1.0,0.026666666666666665,0.0,0.0
4,2,1.0,0.075,0.075,0.0
4,3,1.0,0.05,0.06666666666666667,0.0
4,4,1.0,0.05,0.1125,0.0
4,5,1.0,0.06000000000000001,0.12000000000000002,0.0
5,2,0.9958960865916595,0.08,0.08,0.04
5,3,0.9953089364759112,0.09333333333333334,0.10666666666666666,0.026666666666666665
5,4,1.0,0.030000000000000006,0.09,0.0
5,5,0.9973786796564404,0.068,0.12000000000000002,0.012
6,2,0.9965800721597162,0.08333333333333333,0.08333333333333333,0.03333333333333333
6,3,0.9921815607931853,0.0888888888888889,0.11111111111111112,0.04444444444444444
6,4,1.0,0.058333333333333334,0.075,0.0
6,5,0.997815566380367,0.06666666666666668,0.1,0.009999999999999998
7,2,1.0,0.04285714285714286,0.04285714285714286,0.0
7,3,0.9966492403399366,0.047619047619047616,0.06666666666666667,0.019047619047619046
7,4,0.994168348654977,0.07142857142857142,0.11428571428571428,0.03333333333333333
7,5,1.0,0.04714285714285714,0.06857142857142857,0.0
8,2,0.9993044813949066,0.075,0.075,0.025
8,3,1.0,0.049999999999999996,0.05,0.0
8,4,1.0,0.04375,0.0375,0.0
8,5,0.9967233495705503,0.07625000000000001,0.11000000000000001,0.015
9,2,1.0,0.04444444444444444,0.04444444444444444,0.0
9,3,0.9973938535977285,0.059259259259259255,0.08148148148148147,0.014814814814814814
9,4,1.0,0.04444444444444444,0.05,0.0
9,5,0.9970874218404893,0.05666666666666668,0.08,0.013333333333333332
10,2,1.0,0.05,0.05,0.0
10,3,0.998509288015,0.05333333333333333,0.07999999999999999,0.013333333333333332
10,4,0.9976017791720991,0.07166666666666666,0.09,0.016666666666666666
10,5,1.0,0.049,0.08,0.0
